1175 parole
4705 occorrenze
the 382
and 178
he 113
of 111
a 103
to 89
was 81
in 78
his 73
had 66
said 58
it 50
at 48
you 37
as 36
on 36
who 36
bull 34
paco 34
that 34
3444 coppie a distanza 1
3178 coppie a distanza 2
2827 coppie a distanza 3
(a,about) 1
(a,accompanied) 2
(a,afraid) 2
(a,again) 2
(a,against) 1
(a,all) 2
(a,alone) 2
(a,also) 1
(a,alvarez) 2
(a,am) 2
(a,and) 1
(a,arc) 2
(a,are) 1
(a,as) 1
(a,at) 1
(a,atrocious) 2
(a,banderillero) 1
(a,bathtub) 1
(a,bayonet) 1
(a,be) 1
(a,become) 1
(a,been) 1
(a,beer) 2
(a,before) 1
(a,being) 1
(a,better) 1
(a,bill) 1
(a,boy) 2
(a,breaking) 1
(a,built) 2
(a,bull) 1
(a,but) 1
(a,by) 1
(a,calm) 1
(a,came) 2
(a,can) 2
(a,capability) 2
(a,capable) 1
(a,carcass) 2
(a,cat) 1
(a,catholic) 1
(a,chair) 1
(a,charge) 2
(a,cigar) 1
(a,club) 1
(a,coffee) 1
(a,comrade) 2
(a,constant) 1
(a,contortion) 1
(a,corner) 1
(a,country) 1
(a,courage) 2
(a,covered) 2
(a,coward) 1
(a,crowded) 1
(a,cup) 2
(a,dozen) 1
(a,drawer) 2
(a,drinking) 1
(a,dull) 1
(a,eating) 1
(a,eight) 2
(a,employed) 2
(a,empties) 2
(a,enjoyment) 2
(a,even) 1
(a,failed) 1
(a,father) 1
(a,favour) 1
(a,femoral) 2
(a,fighter) 2
(a,fold) 1
(a,for) 1
(a,foreigner) 1
(a,former) 1
(a,from) 1
(a,full) 1
(a,gained) 1
(a,gave) 2
(a,glass) 1
(a,good) 1
(a,great) 1
(a,guest) 1
(a,had) 1
(a,handkerchief) 1
(a,have) 1
(a,hawk) 2
(a,he) 2
(a,him) 1
(a,hold) 1
(a,holding) 1
(a,hot) 1
(a,houseworn) 2
(a,hungry) 2
(a,i) 2
(a,in) 1
(a,into) 1
(a,is) 1
(a,it) 2
(a,its) 2
(a,job) 2
(a,joke) 2
(a,kilimanjaro) 2
(a,kill) 2
(a,knife) 1
(a,later) 2
(a,legs) 2
(a,leopard) 1
(a,like) 1
(a,lit) 1
(a,little) 1
(a,lived) 2
(a,long) 1
(a,longer) 1
(a,look) 2
(a,looked) 1
(a,luarca) 2
(a,made) 1
(a,madrid) 1
(a,man) 1
(a,many) 2
(a,matador) 2
(a,media) 1
(a,mo) 2
(a,moderately) 1
(a,more) 2
(a,motion) 2
(a,mound) 1
(a,mouth) 2
(a,name) 2
(a,napkin) 1
(a,necessary) 2
(a,nightshirt) 1
(a,no) 2
(a,not) 1
(a,novelty) 1
(a,now) 2
(a,of) 1
(a,on) 1
(a,once) 2
(a,one) 2
(a,opened) 1
(a,or) 2
(a,other) 2
(a,out) 1
(a,paco) 2
(a,part) 1
(a,pass) 2
(a,peculiar) 1
(a,people) 1
(a,pleasure) 2
(a,policeman) 1
(a,poor) 1
(a,poster) 1
(a,poured) 2
(a,presented) 2
(a,products) 1
(a,promising) 2
(a,prosperous) 2
(a,prostitutes) 1
(a,province) 2
(a,quickly) 1
(a,ready) 1
(a,rebolera) 1
(a,received) 1
(a,revolutionary) 1
(a,ring) 1
(a,rip) 2
(a,rubber) 1
(a,said) 2
(a,scalding) 2
(a,season) 2
(a,sensational) 1
(a,separate) 1
(a,severed) 1
(a,should) 2
(a,single) 1
(a,sitting) 2
(a,skilfully) 2
(a,skin) 1
(a,slow) 1
(a,small) 1
(a,smile) 2
(a,smiling) 1
(a,snow) 1
(a,spread) 2
(a,stab) 2
(a,steady) 1
(a,stiff) 1
(a,strong) 1
(a,sweeping) 2
(a,swing) 2
(a,table) 1
(a,talks) 1
(a,teeth) 2
(a,terrain) 2
(a,than) 1
(a,that) 2
(a,the) 2
(a,then) 1
(a,there) 2
(a,they) 2
(a,thin) 1
(a,third) 1
(a,thrill) 1
(a,tight) 2
(a,time) 2
(a,to) 1
(a,took) 1
(a,tor) 1
(a,torero) 1
(a,turn) 2
(a,turned) 2
(a,un) 2
(a,unasked) 2
(a,up) 2
(a,veronica) 2
(a,very) 1
(a,village) 1
(a,vogue) 2
(a,was) 1
(a,way) 1
(a,we) 2
(a,wearing) 1
(a,week) 1
(a,well) 1
(a,when) 2
(a,where) 2
(a,who) 2
(a,whore) 1
(a,wine) 2
(a,wineskin) 1
(a,with) 1
(a,woman) 1
(a,would) 2
(a,wrestler) 1
(a,wrinkled) 2
(a,you) 1
(abandoned,country) 1
(abandoned,from) 2
(abandoned,the) 1
(abandoned,to) 2
(abandoned,what) 2
(abandoned,when) 2
(abdomen,at) 1
(abdomen,could) 2
(abdomen,he) 1
(abdomen,his) 2
(abdomen,lower) 1
(abdomen,the) 2
(ability,drink) 2
(ability,his) 1
(ability,of) 2
(ability,through) 1
(about,all) 2
(about,any) 1
(about,care) 1
(about,eating) 1
(about,father) 2
(about,galicia) 1
(about,he) 2
(about,joke) 1
(about,know) 1
(about,known) 1
(about,madrid) 2
(about,meticulous) 1
(about,never) 2
(about,nor) 1
(about,of) 2
(about,this) 2
(about,was) 2
(about,we) 2
(about,what) 1
(about,whore) 2
(above,and) 1
(above,around) 2
(above,as) 2
(above,courage) 1
(above,dignity) 2
(above,muscle) 1
(above,of) 2
(above,rank) 1
(above,rush) 1
(above,scalding) 2
(above,the) 1
(above,wide) 2
(abundant,and) 1
(abundant,clothes) 2
(abundant,food) 1
(abundant,in) 2
(accident,except) 2
(accident,happened) 1
(accident,the) 1
(accident,when) 2
(accompanied,by) 1
(accompanied,stairs) 1
(accompanied,the) 2
(accounts,been) 2
(accounts,had) 1
(accounts,his) 1
(accounts,if) 2
(accustomed,been) 1
(accustomed,had) 2
(accustomed,see) 2
