274 parole
783 occorrenze
the 55
and 33
i 32
to 19
of 18
he 16
said 15
was 15
you 13
it 12
there 12
were 11
a 10
animals 9
bridge 9
but 8
old 8
his 7
man 7
no 7
622 coppie a distanza 1
598 coppie a distanza 2
538 coppie a distanza 3
(a,all) 2
(a,and) 1
(a,bridge) 2
(a,can) 2
(a,cat) 1
(a,ceiling) 2
(a,day) 2
(a,few) 1
(a,goats) 2
(a,good) 1
(a,grey) 1
(a,he) 2
(a,herdsman) 1
(a,is) 2
(a,it) 2
(a,last) 2
(a,like) 1
(a,look) 2
(a,low) 1
(a,nor) 1
(a,not) 1
(a,overcast) 2
(a,place) 2
(a,pontoon) 1
(a,right) 1
(a,shepherd) 1
(a,there) 2
(a,wait) 1
(a,was) 1
(a,where) 1
(a,while) 1
(a,will) 2
(a,with) 1
(about,be) 2
(about,cat) 2
(about,do) 1
(about,him) 1
(about,it) 2
(about,others) 2
(about,the) 1
(about,think) 1
(about,to) 2
(about,unquiet) 1
(about,you) 2
(advanced,did) 2
(advanced,enemy) 2
(advanced,had) 1
(advanced,i) 1
(advancing,fascists) 2
(advancing,the) 2
(advancing,toward) 1
(advancing,were) 1
(african,and) 2
(african,country) 2
(african,looking) 1
(african,the) 1
(after,look) 1
(after,selves) 2
(after,them) 1
(after,to) 2
(again,much) 2
(again,thank) 2
(again,very) 1
(again,you) 1
(against,helping) 2
(against,push) 1
(against,spokes) 2
(against,the) 1
(all,and) 1
(all,be) 1
(all,good) 2
(all,i) 2
(all,it) 1
(all,listening) 1
(all,of) 2
(all,right) 1
(all,selves) 2
(all,the) 1
(all,through) 2
(all,was) 1
(all,while) 2
(all,will) 2
(all,you) 2
(along,in) 1
(along,peasants) 2
(along,plodded) 1
(along,the) 2
(altogether,animals) 1
(altogether,explained) 2
(altogether,he) 1
(altogether,three) 2
(am,asked) 2
(am,i) 1
(am,politics) 2
(am,right) 2
(am,said) 2
(am,seventy) 1
(am,six) 2
(am,sure) 1
(am,t) 1
(am,there) 2
(am,without) 1
(an,bridge) 1
(an,man) 2
(an,old) 1
(an,the) 2
(and,artillery) 1
(and,away) 1
(and,beyond) 1
(and,blankly) 1
(and,bridge) 1
(and,called) 2
(and,carts) 1
(and,cat) 1
(and,children) 1
(and,clothes) 1
(and,contact) 1
(and,delta) 1
(and,did) 2
(and,dusty) 2
(and,easter) 2
(and,ebro) 2
(and,enemy) 1
(and,face) 1
(and,fact) 2
(and,fascists) 2
(and,few) 2
(and,find) 1
(and,get) 2
(and,goats) 1
(and,got) 1
(and,grey) 2
(and,ground) 2
(and,had) 2
(and,have) 2
(and,he) 1
(and,head) 2
(and,heading) 2
(and,herdsman) 1
(and,his) 1
(and,how) 2
(and,i) 1
(and,it) 1
(and,kilometres) 2
(and,listening) 1
(and,looked) 2
(and,men) 1
(and,mention) 2
(and,native) 2
(and,now) 1
(and,of) 2
(and,old) 2
(and,out) 2
(and,over) 2
(and,peasants) 2
(and,pigeons) 1
(and,returned) 1
(and,rimmed) 2
(and,river) 1
(and,said) 1
(and,sat) 2
(and,shook) 1
(and,side) 1
(and,smiled) 1
(and,so) 1
(and,spectacles) 1
(and,steel) 2
(and,sunday) 1
(and,that) 1
(and,the) 1
(and,then) 1
(and,there) 2
(and,think) 2
(and,this) 1
(and,tiredly) 1
(and,to) 2
(and,town) 1
(and,trucks) 1
(and,try) 1
(and,two) 2
(and,up) 1
(and,very) 1
(and,were) 2
(and,what) 2
(and,women) 1
(and,wondering) 1
(and,you) 1
(animals,care) 2
(animals,explained) 2
(animals,he) 1
(animals,i) 1
(animals,of) 1
(animals,only) 2
(animals,said) 2
(animals,stated) 2
(animals,the) 1
(animals,there) 1
(animals,they) 2
(animals,three) 1
(animals,various) 1
(animals,was) 2
(animals,were) 1
(animals,what) 1
(ankle,deep) 1
(ankle,dust) 2
(ankle,in) 2
(ankle,the) 1
(any,farther) 1
(any,go) 1
(any,it) 2
(any,to) 2
(are,i) 2
(are,if) 2
(are,it) 2
(are,rested) 1
(are,there) 1
(are,trucks) 1
(are,up) 2
(are,you) 1
(arjoss,bridge) 1
(arjoss,pontoon) 2
(arjoss,river) 2
(arjoss,the) 1
(artillery,captain) 2
(artillery,did) 1
(artillery,i) 2
(artillery,of) 2
(artillery,the) 1
(artillery,under) 2
(artillery,when) 1
(artillery,you) 2
(asked,because) 2
(asked,family) 2
(asked,from) 2
(asked,him) 1
(asked,i) 1
(asked,man) 2
(asked,old) 1
(asked,t) 1
(asked,the) 2
(asked,them) 2
(asked,then) 2
(asked,they) 2
(asked,unlocked) 2
(asked,watching) 1
(asked,yes) 1
(asked,you) 2
(at,black) 2
(at,bridge) 2
(at,he) 2
(at,his) 1
(at,i) 2
(at,looked) 1
(at,man) 1
(at,me) 1
(at,old) 2
(at,the) 1
(at,very) 2
(away,heading) 1
(away,out) 2
(away,up) 2
(backwards,down) 1
(backwards,in) 1
(backwards,sat) 2
(backwards,the) 2
(bank,far) 1
(bank,from) 1
(bank,he) 2
(bank,no) 1
(bank,now) 2
(bank,of) 2
(bank,steep) 1
(bank,the) 1
(bank,where) 1
(barcelona,go) 2
(barcelona,i) 1
(barcelona,told) 2
(barcelona,towards) 1
(be,before) 1
(be,cat) 2
(be,course) 2
(be,it) 2
(be,need) 2
(be,right) 2
(be,to) 1
(be,unquiet) 1
(be,we) 2
(be,will) 1
(be,would) 1
(because,go) 1
(because,leave) 1
(because,of) 1
(because,the) 2
(because,to) 2
(because,yes) 1
(become,of) 1
(become,the) 2
(become,what) 2
(become,will) 1
(before,we) 1
(before,would) 2
(better,it) 2
(better,not) 1
(better,s) 1
(better,to) 2
(beyond,bridge) 2
(beyond,find) 2
(beyond,head) 1
(black,clothes) 2
(black,dusty) 1
(black,his) 1
(blankly,me) 2
(blankly,tiredly) 2
(blankly,very) 1
(bridge,cross) 2
(bridge,explore) 1
(bridge,from) 2
(bridge,head) 1
(bridge,of) 2
(bridge,old) 2
(bridge,over) 2
(bridge,pontoon) 1
(bridge,soldiers) 2
(bridge,the) 1
(bridge,there) 1
(bridge,watching) 2
(bridge,were) 2
(bridge,where) 1
(bridge,with) 1
(business,cross) 2
(business,my) 1
(business,to) 1
(business,was) 2
(but,cannot) 2
(but,carts) 1
(but,cat) 1
(but,deep) 2
(but,dully) 1
(but,dust) 1
(but,fly) 1
(but,foot) 1
(but,for) 2
(but,he) 2
(but,i) 1
(but,itself) 1
(but,ll) 2
(but,longer) 2
(but,no) 1
(but,old) 2
(but,on) 2
(but,others) 2
(but,said) 1
(but,thank) 1
(but,the) 1
(but,what) 1
(but,will) 2
(but,you) 2
(by,clothes) 2
(by,sat) 1
(by,side) 2
(by,the) 1
(cage,dove) 1
(cage,i) 2
(cage,the) 2
(cage,unlocked) 1
(called,contact) 1
(called,event) 1
(called,mysterious) 2
(can,cat) 1
(can,go) 1
(can,i) 1
(can,if) 2
(can,it) 2
(can,look) 1
(can,make) 1
(can,no) 2
(can,now) 2
(can,out) 2
(can,you) 1
(cannot,i) 1
(cannot,think) 1
(cannot,what) 2
(captain,me) 2
(captain,the) 1
(captain,told) 1
(care,of) 1
(care,only) 2
(care,see) 2
(care,taking) 1
(care,was) 2
(carlos,did) 2
(carlos,from) 2
(carlos,he) 1
(carlos,of) 2
(carlos,said) 2
(carlos,san) 1
(carts,drawn) 1
(carts,few) 2
(carts,gered) 2
(carts,hurrying) 2
(carts,last) 1
(carts,many) 1
(carts,mule) 2
(carts,no) 1
(carts,now) 1
(carts,river) 2
(carts,so) 2
(carts,stag) 1
(carts,trucks) 1
(carts,were) 1
(carts,what) 2
(cat,course) 2
(cat,look) 2
(cat,of) 1
(cat,right) 2
(cat,someone) 2
(cat,stated) 2
(cat,the) 1
(cat,then) 2
(cat,will) 1
(cats,fact) 2
(cats,how) 2
(cats,know) 1
(cats,that) 1
(ceiling,low) 1
(ceiling,so) 1
(ceiling,their) 2
(certainly,ll) 2
(certainly,oldmanatthebridge) 2
(certainly,they) 1
(certainly,yes) 1
(children,crossing) 2
(children,were) 1
(children,women) 2
(clothes,dusty) 1
(clothes,his) 2
(clothes,sat) 1
(clothes,very) 2
(come,do) 2
(come,from) 1
(come,have) 1
(come,i) 2
(come,it) 2
(come,kilometres) 2
(come,ll) 2
(come,probably) 1
(come,through) 1
(come,twelve) 1
(come,you) 1
(contact,event) 2
(contact,the) 2
(country,looking) 1
(country,of) 1
(country,the) 2
(course,of) 1
(course,will) 1
(cross,the) 1
(cross,to) 1
(crossing,it) 1
(crossing,the) 2
(crossing,were) 1
(day,grey) 2
(day,overcast) 1
(day,with) 1
(deep,dust) 1
(deep,the) 2
(delta,ebro) 1
(delta,the) 2
(delta,wondering) 2
(did,he) 1
(did,i) 1
(did,leave) 2
(did,look) 2
(did,not) 1
(did,the) 2
(did,this) 1
(did,you) 1
(direction,he) 1
(direction,in) 2
(direction,said) 2
(direction,that) 1
(do,go) 2
(do,him) 2
(do,nothing) 2
(do,now) 2
(do,the) 1
(do,there) 2
(do,they) 1
(do,think) 2
(do,to) 1
(do,trucks) 2
(do,under) 1
(do,what) 1
(do,where) 1
(do,will) 2
(do,you) 1
(dove,leave) 2
(dove,the) 1
(dove,unlocked) 2
(down,hurrying) 1
(down,in) 2
(down,sat) 1
(down,slope) 2
(down,the) 1
(down,then) 2
(down,were) 2
(drawn,mule) 1
(drawn,stag) 2
(drawn,the) 2
(du,i) 2
(du,in) 2
(du,st) 1
(du,the) 1
(dully,he) 2
(dully,no) 2
(dully,said) 1
(dust,the) 2
(dusty,face) 1
(dusty,grey) 1
(dusty,his) 2
(dusty,sat) 2
(dusty,very) 1
(easter,it) 2
(easter,sunday) 1
(easter,was) 1
(ebro,it) 1
(ebro,of) 2
(ebro,the) 1
(ebro,toward) 2
(ebro,was) 2
(end,far) 1
(end,of) 1
(end,the) 2
(enemy,had) 1
(enemy,listening) 2
(enemy,point) 2
(enemy,see) 2
(enemy,the) 1
(event,ever) 2
(event,mysterious) 1
(ever,have) 1
(ever,man) 2
(ever,mysterious) 1
(ever,signal) 2
(ever,that) 1
(ever,would) 1
(explained,he) 1
(explained,i) 2
(explained,oh) 1
(explained,there) 1
(explained,were) 2
(explore,the) 1
(face,grey) 2
(face,his) 2
(fact,that) 1
(fact,the) 1
(family,have) 2
(family,i) 1
(family,no) 1
(far,of) 2
(far,the) 1
(far,watching) 2
(far,where) 2
(farther,go) 2
(farther,is) 2
(farther,it) 1
(farther,no) 1
(farther,this) 1
(farther,was) 2
(fascists,the) 1
(fascists,were) 1
(feet,from) 2
(feet,his) 1
(feet,swayed) 1
(feet,to) 2
